LIT_UG;ALT_UG;SigmaS3;SigmaS1
AND;SCC;25;112
AND;SCC;-2.87;0
AND;SCC;-4.11;0
AND;SCC;15;108.1
AND;SCC;0;33.53
AND;SCC;0;57.93
AND;SCC;-6.91;0
AND;SCC;0;56.83
AND;SCC;15.1;104.2
AND;SCC;15;175.9
AND;SCC;5;156.7
AND;SCC;19.8;220.7
AND;SCC;10;209.5
AND;SCC;14.9;232.4
AND;SCC;24.9;313
AND;SCC;19.9;260.7
AND;SCC;4.9;152.5
AND;SCC;24.9;278.2
AND;SCC;5;175.3
AND;SCC;15.1;231
AND;SCC;10;200.3
AND;SCC;20;258.1
AND;SCC;15;221.3
AND;SCC;24.9;320.4
AND;SCC;20.2;244.2
AND;SCC;4.9;148.4
AND;SCC;25;301.5
AND;SCC;5;175.2
AND;SCC;19.9;228.3
AND;SCC;9.9;189.7
AND;SCC;24.8;308.4
AND;SCC;14.9;216.1
AND;SCC;19.9;275.7
AND;SCC;24.9;230.5
AND;SCC;10;146.4
AND;SCC;5.1;132.7
AND;SCC;10.1;198.3
AND;SCC;24.9;240.4
AND;SCC;15.1;232.8
AND;SCC;9.9;176.7
AND;SCC;5.1;156.3
AND;SCC;10;99.5
AND;SCC;4.9;142.1
AND;SCC;15.1;175.5
AND;SCC;10;155.2
AND;SCC;20;204.6
AND;SCC;4.9;123.5
AND;SCC;10;185.2
AND;SCC;20;212.3
AND;SCC;15.1;190.2
AND;SCC;9.9;155.3
AND;SCC;14.9;114.9
AND;SCC;24.8;240.1
AND;SCC;20;193.2
AND;SCC;4.9;103.5
AND;SCC;24.9;126.6
AND;SCC;4.9;132.5
AND;SCC;15.1;93.5
AND;SCC;9.9;139.2
AND;SCC;20;196.5
AND;SCC;14.9;176.6
AND;SCC;20;206.6
AND;SCC;4.9;104.7
AND;SCC;24.9;236.9
AND;SCC;10.3;126
AND;SCC;4.9;97.2
AND;SCC;10.1;188.3
AND;SCC;20;199.7
AND;SCC;24.8;102.7
AND;SCC;0;66.85
